20-09-2015,Vélez Sarsfield,  Estudiantes
20-09-2015,Aldosivi,  Huracán
20-09-2015,Independiente,  Nueva Chicago
20-09-2015,River Plate,  Lanús
27-09-2015,Crucero del Norte,  River Plate
27-09-2015,Lanús,  Independiente
27-09-2015,Nueva Chicago,  Aldosivi
27-09-2015,Huracán,  Vélez Sarsfield
27-09-2015,Estudiantes,  Newell's Old Boys
27-09-2015,San Martín (SJ),  Sarmiento
27-09-2015,Defensa y Justicia,  Quilmes
27-09-2015,Colón,  Belgrano
27-09-2015,Atlético de Rafaela,  Unión
27-09-2015,Temperley,  Arsenal
27-09-2015,Olimpo ,  Godoy Cruz
27-09-2015,Rosario Central,  Gimnasia y Esgrima (LP)
27-09-2015,Tigre,  San Lorenzo
27-09-2015,Racing,  Argentinos Juniors
27-09-2015,Boca Juniors,  Banfield
04-10-2015,Boca Juniors,  Crucero del Norte
04-10-2015,Banfield,  Racing
04-10-2015,Argentinos Juniors,  Tigre
04-10-2015,San Lorenzo,  Rosario Central
04-10-2015,Gimnasia y Esgrima (LP),  Olimpo 
04-10-2015,Godoy Cruz,  Temperley
04-10-2015,Arsenal,  Atlético de Rafaela
04-10-2015,Unión,  Colón
04-10-2015,Belgrano,  Defensa y Justicia
04-10-2015,Quilmes,  San Martín (SJ)
04-10-2015,Sarmiento,  Estudiantes
04-10-2015,Newell's Old Boys,  Huracán
04-10-2015,Vélez Sarsfield,  Nueva Chicago
04-10-2015,Aldosivi,  Lanús
04-10-2015,Independiente,  River Plate
18-10-2015,Crucero del Norte,  Independiente
18-10-2015,River Plate,  Aldosivi
18-10-2015,Lanús,  Vélez Sarsfield
18-10-2015,Nueva Chicago,  Newell's Old Boys
18-10-2015,Huracán,  Sarmiento
18-10-2015,Estudiantes,  Quilmes
18-10-2015,San Martín (SJ),  Belgrano
18-10-2015,Defensa y Justicia,  Unión
18-10-2015,Colón,  Arsenal
18-10-2015,Atlético de Rafaela,  Godoy Cruz
18-10-2015,Temperley,  Gimnasia y Esgrima (LP)
18-10-2015,Olimpo ,  San Lorenzo
18-10-2015,Rosario Central,  Argentinos Juniors
18-10-2015,Tigre,  Banfield
18-10-2015,Racing,  Boca Juniors
01-11-2015,Racing,  Crucero del Norte
01-11-2015,Boca Juniors,  Tigre
01-11-2015,Banfield,  Rosario Central
01-11-2015,Argentinos Juniors,  Olimpo 
01-11-2015,San Lorenzo,  Temperley
01-11-2015,Gimnasia y Esgrima (LP),  Atlético de Rafaela
01-11-2015,Godoy Cruz,  Colón
01-11-2015,Arsenal,  Defensa y Justicia
01-11-2015,Unión,  San Martín (SJ)
01-11-2015,Belgrano,  Estudiantes
01-11-2015,Quilmes,  Huracán
01-11-2015,Sarmiento,  Nueva Chicago
01-11-2015,Newell's Old Boys,  Lanús
01-11-2015,Vélez Sarsfield,  River Plate
01-11-2015,Aldosivi,  Independiente
08-11-2015,Crucero del Norte,  Aldosivi
08-11-2015,Independiente,  Vélez Sarsfield
08-11-2015,River Plate,  Newell's Old Boys
08-11-2015,Lanús,  Sarmiento
08-11-2015,Nueva Chicago,  Quilmes
08-11-2015,Huracán,  Belgrano
08-11-2015,Estudiantes,  Unión
08-11-2015,San Martín (SJ),  Arsenal
08-11-2015,Defensa y Justicia,  Godoy Cruz
08-11-2015,Colón,  Gimnasia y Esgrima (LP)
08-11-2015,Atlético de Rafaela,  San Lorenzo
08-11-2015,Temperley,  Argentinos Juniors
08-11-2015,Olimpo ,  Banfield
08-11-2015,Rosario Central,  Boca Juniors
08-11-2015,Tigre,  Racing
